id,label
1,4
2,3
3,4
4,2
5,3
6,2
7,2
8,1
9,2
10,2
11,4
12,4
13,4
14,4
15,2
16,4
17,1
18,3
19,3
20,2
21,3
22,2
23,1
24,3
25,2
26,1
27,3
28,3
29,4
30,2
31,4
32,2
33,4
34,2
35,3
36,4
37,2
38,2
39,3
40,2
41,2
42,4
43,3
44,4
45,3
46,2
47,4
48,2
49,3
50,3
51,3
52,4
53,2
54,4
55,1
56,4
57,1
58,3
59,1
60,3
61,2
62,3
63,2
64,3
65,2
66,4
67,3
68,2
69,1
70,1
71,1
72,2
73,2
74,3
75,4
76,4
77,1
78,3
79,1
80,2
81,2
82,2
83,2
84,1
85,3
86,4
87,3
88,4
89,4
90,1
91,2
92,2
93,2
94,3
95,2
96,4
97,1
98,1
99,1
100,3
101,2
102,4
103,3
104,1
105,2
106,2
107,3
108,3
109,4
110,2
111,4
112,4
113,2
114,1
115,3
116,1
117,2
118,3
119,4
120,4
121,3
122,3
123,1
124,1
125,3
126,2
127,1
128,1
129,1
130,2
131,2
132,1
133,3
134,2
135,2
136,3
137,2
138,4
139,4
140,2
141,2
142,4
143,2
144,1
145,1
146,3
147,1
148,2
149,1
150,2
151,2
152,3
153,2
154,1
155,3
156,3
157,2
158,4
159,1
160,2
161,4
162,1
163,4
164,2
165,1
166,2
167,3
168,1
169,2
170,2
171,3
172,4
173,3
174,4
175,1
176,4
177,4
178,2
179,3
180,3
181,1
182,2
183,4
184,2
185,1
186,4
187,3
188,2
189,4
190,1
191,1
192,4
193,1
194,4
195,4
196,3
197,4
198,4
199,4
200,2
201,4
202,3
203,2
204,2
205,2
206,1
207,2
208,1
209,4
210,2
211,2
212,1
213,2
214,1
215,4
216,4
217,2
218,2
219,4
220,3
221,3
222,4
223,3
224,4
225,3
226,3
227,1
228,4
229,2
230,3
231,3
232,4
233,1
234,1
235,3
236,2
237,2
238,3
239,1
240,2
241,4
242,4
243,1
244,2
245,3
246,3
247,1
248,1
249,4
250,4
251,2
252,3
253,2
254,4
255,1
256,2
257,3
258,1
259,2
260,4
261,2
262,2
263,3
264,1
265,1
266,2
267,4
268,4
269,3
270,2
271,3
272,3
273,2
274,4
275,4
276,3
277,3
278,4
279,1
280,2
281,2
282,3
283,2
284,4
285,3
286,1
287,2
288,3
289,3
290,4
291,4
292,4
293,2
294,3
295,3
296,2
297,4
298,4
299,4
300,1
301,2
302,4
303,3
304,2
305,3
306,1
307,1
308,2
309,4
310,2
311,1
312,1
313,3
314,3
315,3
316,4
317,2
318,3
319,2
320,2
321,2
322,4
323,1
324,4
325,1
326,2
327,4
328,4
329,4
330,4
331,3
332,2
333,2
334,3
335,4
336,3
337,3
338,3
339,4
340,4
341,2
342,1
343,4
344,2
345,2
346,3
347,2
348,3
349,2
350,1
351,4
352,4
353,3
354,3
355,2
356,4
357,4
358,3
359,2
360,2
361,3
362,4
363,4
364,3
365,4
366,1
367,3
368,2
369,3
370,2
371,1
372,4
373,1
374,2
375,2
376,1
377,4
378,1
379,2
380,4
381,3
382,3
383,3
384,2
385,3
386,3
387,4
388,3
389,3
390,1
391,4
392,2
393,4
394,2
395,2
396,1
397,4
398,1
399,3
400,1
401,3
402,3
403,1
404,4
405,4
406,1
407,1
408,3
409,2
410,2
411,2
412,3
413,2
414,1
415,3
416,4
417,3
418,2
419,4
420,2
421,1
422,2
423,3
424,3
425,3
426,2
427,1
428,3
429,1
430,3
431,1
432,3
433,2
434,2
435,2
436,1
437,4
438,1
439,3
440,3
441,3
442,2
443,4
444,3
445,1
446,3
447,3
448,1
449,3
450,4
451,1
452,2
453,3
454,4
455,3
456,1
457,2
458,3
459,3
460,4
461,1
462,4
463,1
464,3
465,3
466,3
467,2
468,3
469,4
470,2
471,4
472,2
473,4
474,3
475,2
476,3
477,2
478,1
479,2
480,1
481,1
482,3
483,4
484,1
485,3
486,2
487,3
488,1
489,4
490,3
491,2
492,3
493,4
494,4
495,3
496,3
497,1
498,2
499,1
500,3
501,4
502,2
503,3
504,2
505,2
506,2
507,2
508,4
509,3
510,2
511,2
512,4
513,1
514,1
515,4
516,2
517,4
518,1
519,2
520,4
521,3
522,4
523,3
524,2
525,2
526,4
527,3
528,4
529,3
530,2
531,2
532,4
533,2
534,4
535,2
536,1
537,4
538,2
539,4
540,3
541,4
542,4
543,1
544,4
545,2
546,4
547,3
548,4
549,1
550,2
551,1
552,4
553,1
554,4
555,4
556,4
557,3
558,2
559,3
560,4
561,2
562,3
563,2
564,2
565,3
566,3
567,4
568,4
569,3
570,2
571,4
572,1
573,4
574,1
575,1
576,1
577,1
578,2
579,4
580,2
581,1
582,3
583,4
584,4
585,4
586,4
587,2
588,2
589,1
590,2
591,2
592,1
593,4
594,1
595,4
596,4
597,3
598,4
599,4
600,2
601,2
602,4
603,1
604,2
605,4
606,3
607,3
608,1
609,3
610,4
611,1
612,2
613,1
614,1
615,3
616,1
617,4
618,1
619,3
620,2
621,3
622,4
623,2
624,2
625,4
626,2
627,1
628,1
629,4
630,4
631,3
632,3
633,1
634,3
635,1
636,3
637,4
638,1
639,4
640,1
641,4
642,1
643,3
644,2
645,2
646,4
647,2
648,4
649,2
650,3
651,4
652,4
653,3
654,2
655,3
656,2
657,3
658,3
659,3
660,2
661,1
662,3
663,2
664,2
665,1
666,2
667,2
668,2
669,2
670,4
671,4
672,2
673,3
674,1
675,3
676,4
677,1
678,2
679,4
680,3
681,4
682,2
683,2
684,4
685,3
686,2
687,1
688,4
689,1
690,2
691,1
692,4
693,3
694,4
695,1
696,2
697,1
698,4
699,4
700,2
701,2
702,4
703,4
704,1
705,1
706,3
707,4
708,2
709,1
710,3
711,3
712,2
713,2
714,4
715,1
716,4
717,4
718,4
719,2
720,3
721,4
722,4
723,1
724,1
725,1
726,4
727,2
728,2
729,4
730,4
731,2
732,1
733,3
734,3
735,2
736,4
737,3
738,2
739,1
740,3
741,3
742,3
743,3
744,4
745,3
746,2
747,4
748,3
749,3
750,1
751,1
752,3
753,2
754,4
755,2
756,3
757,3
758,2
759,1
760,4
761,3
762,3
763,4
764,3
765,4
766,3
767,2
768,4
769,4
770,2
771,1
772,4
773,1
774,4
775,3
776,2
777,2
778,2
779,1
780,1
781,1
782,4
783,3
784,4
785,4
786,4
787,1
788,1
789,4
790,2
791,4
792,4
793,1
794,4
795,3
796,2
797,2
798,1
799,4
800,3
801,4
802,2
803,3
804,1
805,2
806,4
807,1
808,3
809,4
810,2
811,2
812,2
813,1
814,1
815,3
816,2
817,2
818,1
819,4
820,1
821,3
822,3
823,3
824,4
825,4
826,4
827,3
828,1
829,3
830,3
831,4
832,3
833,1
834,4
835,1
836,1
837,3
838,1
839,1
840,3
841,1
842,2
843,1
844,2
845,2
846,2
847,1
848,2
849,4
850,2
851,4
852,1
853,2
854,4
855,4
856,4
857,1
858,2
859,4
860,2
861,1
862,3
863,3
864,2
865,3
866,3
867,2
868,2
869,3
870,4
871,1
872,4
873,4
874,3
875,2
876,3
877,1
878,3
879,4
880,1
881,4
882,3
883,1
884,3
885,3
886,2
887,4
888,3
889,3
890,1
891,3
892,2
893,3
